ID,empresa,modelo_negocio,app_movil,periodo,marca,modelo,tipo_vehiculo,segmento,transmision,combustible,puertas,uso_principal,precio_hora_ars,precio_dia_ars,km_incluidos,costo_vehiculo_usd,horas_uso_dia,usuarios_registrados,cobertura_geo,observaciones,fecha_carga,codigo_postal,telefono,email
11,Rentennials,carsharing_p2p,Rentcars App,2024,Nissan,I10,Furgon,mediano,Mecanica,NAFTA,-1,mixto,"14.082,35",80189.63830081017,unlimited,25000,8.0,45000,Córdoba,cerró en enero 2025,2025-09-21,CABA,sin telefono,contacto@keko.com
12,Kinto,alquiler trabajo,Despegar Autos,2023,Peugeot,Partner,hatchback,COMPACTO,automatica,n/a,tres,carga,25681.114958540147,105665.63735054329,150,12000,48.0,125.000,Mendoza,ACTIVO,2025-07-25,1000,,keko.com
13,Kayak,renta_tradicional,MyKeego App,2025,Hnoda,Suburban,camioneta,compacto,,electric,6,urbano,20411.778609797482,119201.40366660593,100,18000,48.0,125.000,Mendosa,Cerró enero 2025,31/01/2026,C1000,123,keko@keko
15,Rentennials,carsharing_p2p,FastGo App,2025,Peugeot,Onix,PickUp, compacto,N/A,,-1,mixto,147301.2845122673,725100584.1979803,cien,18000,4.0,125.000, ,activo,05-03-2025,C1000,sin telefono,keko@keko
17,Rentennials,alquiler_trabajo,Alamo Web,2025,Fiat,Kicks,mediano,mediano,MANUAL,n/a,0,uber_rabajo,95524.53270496552,417093.71239728737,50 km,22000,4.0,125000,Bariloche,Cerró enero 2025,2025-07-13 11:08:31.758634,C1425,,
18,Alamo,renta_tradicional,TripWip App,24,Nissan,Up,utilitario, compacto,,híbrido,99,urbano,124356.32582907319,744694.9324679344,-50,22000,0.5,N/D,"B.Aires, Argentina",Alianza Uber,2025-06-07,XXXX,,N/A
19,Kayak,alquiler_trabajo,Alamo Web,2023,Vw,Mobi,furgon,grande,MANUAL,diesel,-1,turismo,8316.637176682088,39611.955366933464,9999,,100.0,125000,Cordoba,dato no confirmado,10-12-2025,0000,11-1234-5678,
20,Kayak,alquiler_trabajo,,2023,Mercedse,Cronnos,SUV,economico, ,electrico,6, ,-9515.591216712583,47324.38422965348,150,,5.0,5000,BS AS, ,2025-02-09,1000,0800-KEKO,contacto@keko.com
2411,Akyak,renta_tradicional,Kayak App,2025,Toyota,Bronco,Furgon,premium,,electric,,remis,,,ILIMITADO,18000,1.0,15000,,Alianza Uber,24/12/2025,0000,11-1234-5678,keko.com
22,Cactus Rent,renta_tradicional,KINTO SHARE,2024,Volkswagen,Siena,pickup,economico,auto,NAFTA,4,personal,12543.766388010878,65869.9332849761,100,35000000,12.0,"80,000","ROSARIO, Argentina",ACTIVO,2025-08-14 11:08:31.742407,C1425,11-1234-5678,usuario@gmail.com
23,Kinto,carsharing_flota_propia,Avis App,2023,Honda,No,compacto,economico,automatica,gas,tres,remis,148615.7762943526,738700.7062286102,-50,,5.0,N/D,CABA,N/A,28/04/2025,C1425,,N/A
24,Fastgo,renta_tradicional,MyKeego App,2025,Mw,Frnotier,sedan,compacto,automatico,NAFTA,2,reis,,,unlimited,,4.0,"80,000",,,17/12/2025,XXXX,,contacto@keko.com
25,Hertz,agregador_tradicional,KINTO Shaare,2025,Volkswagen,Trackers,camioneta,COMPACTO,automatica,híbrido,3,taxi,84832.74919435829,468800.10399782966,200,,1.0,N/D,Cordoba,PENDIENTE,24/04/2025,0000,,info@
26,Derentas,alquiler_trabajo,DeRentas Web,2024,Toyota,Gol Trend,SUV,COMPACTO, ,híbrido,4,urbano,12717.780974291793,57792.21263057277,cien,25000,0.5,125.000,,N/A,13/01/2026,,,contacto@keko.com
5076,New Way,agregador_tradicional,Despegar Autos,2023-01-01,Peugeot,Gol Trend,sedán,premium,,,, ,116503.03492333433,508779.34911954193,50,18000,3.0,125.000,n/a,,2025-10-08 11:08:31.748532,1000,123,N/A
29,Derentas,carsharing_p2p,Kayak App,2025,Renault,Gol,PickUp,mediano , ,gnc,3, ,,,cien,,5.0,125.000,n/a,ACTIVO,08/11/2025,BS AS,sin telefono,usuario@gmail.com
6424,Derentas,renta_tradicional,APLI CACION,2023,Audi,Etios,sedán,mediano,N/A,n/a,4,Uebr,15651.474139174534,64113.053935857046,ILIMITADO,30000,100.0,125.000,Mar del Plata,Expansión 2025,19/01/2026,XXXX,0800-KEKO,N/A
31,Invernalia,carsharing_p2p,Rentcars App,2023,Toyota,Onixs,furgon,mediano,,gnc,2,urbano,13936.074170291755,66090.34157889125,,50000,24.0,15000,CABA,PENDIENTE,2025-06-06,XXXX,+54 11 1234-5678,keko.com
32,Kinto,carsharing_p2p,DeRentas Web,2023,Toyota,Yaris,furgon,compacto,cvt,nafta,3,remis,25576.149656895857,142598.5049390049,ILIMITADO,30000,8.0,N/D,Mendoza,Activo,18/06/2025,,0800-KEKO,info@
33,Mykeego,carsharing_p2p,,2019,Fiat,208,,,,,10,,100000,20000,,,50,,,INCONSISTENTE,,C1000,sin telefono,
36,Derentas,carsharing flota propia,Kayak App,2023,Vw,Onix,suv,mediano ,dsg,gnc,2,alquiler_tradicional,117447.44348536895,471997.1825408829,unlimited,,24.0,80000,Córdoba,cerró en enero 2025,04/09/2025,1425,,
37,Kinto,carsharing_p2p,DeRentas Web,2023,Toyota,Yaris,furgon,compacto,cvt,nafta,3,remis,25576.149656895857,142598.5049390049,ILIMITADO,30000,8.0,N/D,Mendoza,Activo,18/06/2025,C1000,sin telefono,usuario@gmail.com
38,Cactus Rent,renta_tradicional,Keko App,2024,Fiat,Up,mediano,premium, ,híbrido,tres,URBANO,9161.504092678824,45207.80744356798,-50,50000,12.0,45mil,Rosario,CERRÓ,2025-11-10 11:08:31.762721,,,info@
39,Tripwip,renta_tradicional,,2024,Vw,Bronco,Furgon,COMPACTO,automatica,híbrido,5,n/a,15245.724686422656,70532.3860295599,ILIMITADO,18000,10.0,"80,000",n/a,Activo,11-09-2025,XXXX,+54 11 1234-5678,info@
40,Europcar,renta_tradicional,Avis App,2025,Audi,Kangoo,compacto,mediano,auto,híbrido,99,turismo,23357.402085022448,125101.25133447065,-50,,1.0,140000,CABA, ,06-29-2025,1425,,usuario@gmail.com
41,Alamo,carsharing_p2p,,,Peugeot,Toro,SUV,mediano ,auto,hibrido,99,turismo,149513.9269729708,759162.5099900836,-50,,0.5,5000,Bariloche,verificar,2025-07-10 11:08:31.742314,C1425,123,contacto@keko.com
44,Hertz,alquiler_trabajo,,2023,Citroen,Tracker,SUV,grande,cvt,n/a,0,uber_trabajo,29323.0474037458,140798.51059559564,ILIMITADO,20000,48.0,140000,B.Aires,,2025-11-09,0000,11-1234-5678,usuario@gmail.com
1504,Europcar,agregador_tradicional, ,2025,Fiat,Suburban,pickup,grande,manual,nafta,3,carga,145023.02739386394,623129.6364203804,50 km,,2.0,15000,Mendoza,dato no confirmado,2025-06-14 11:08:31.760104,CABA,0800-KEKO,keko.com
46,Kinto,alquiler_trabajo,Rentennials App,2025,Nissan,Trackers,COMPACTO,mediano ,Mecanica,diesel,tres,turismo,97700.98647794557,449858.24536674813,ILIMITADO,15000,48.0,125000,Bariloche,,2025-07-17,CABA,sin telefono,keko.com
5096,Localizaa,agregador_tradicional,N/A,2024,Kia,Corola,furgon,mediano,mecánico,DIESEL,0,uber_trabajo,$138561,648848.4320311979,9999,,10.0,15000,Mar del Plata,Cerró enero 2025,19/11/2025,BS AS,0800-KEKO,N/A
4727,Kayak,  agregador_tradicional  ,,,Fiat,Voyage,,,,,,,,,,,,,,ESPACIOS EN BLANCO,,1000,sin telefono,
49,Cactus Rent,carsharing_p2p,Keko App,23,Chevrolet,Tracker,moto,premium,mecánico,DIESEL,5,ubeer_trabajo,145846.74069509038,595887030.7442676,cien,35000,48.0,N/D,CABA,Expansión 2025,2025-12-08 11:08:31.756129,,sin telefono,keko@keko
50,Kinto,alquiler_trabajo,TripWip App,2024,Toyoat,Yaris,moto,mediano ,Mecanica,NAFTA,99,,85747.22249485392,364092.19772767386,9999,35000,6.0,"80,000","ROSARIO, Argentina",Alianza Uber,2025-10-04 11:08:31.763692,XXXX,0800-KEKO,keko@keko
51,Mykeego,alquiler_trabajo,KINTO Share,2024,Nissan,Polo,sedan,economico,,gas,99,Uber,13481.163290560407,75599579.96609749,cien,,3.0,45000,Barilochee,Activo,12/03/2025,0000,0800-KEKO,contacto@keko.com
52,Avis,renta_tradicional,KINTO Shaare,2025,Kia,I10,moto,mediano ,MANUAL,híbrido,3,alquiler_tradicional,19177.018680374193,105065.53584544479,200,15000,2.0,"80,000",B.Aires,verificar,08-17-2025,,+54 11 1234-5678,contacto@keko.com
53,Fastgo,agregador_tradicional,Avis App,2023,Volkswagen,Bronco,utilitario,compacto,auto,electric,5,personal,124159.87210421938,720038.9494363964,ILIMITADO,12000000,24.0,5000,B.Aires,N/A,2025-09-17,CABA,,contacto@keko.com
54,Kayak,carsharing_flota_propia,Despegar Autos,2023,Nissan,Corola,auto,economico,manual,electric,2, ,100203.08655880879,528455.4307689744,ILIMITADO,,0.5,125000,Buenos Aires,Activo,04-12-2025,,12345678,keko.com
55,Kayak,alquiler_trabajo,APLICACION,2024,Ford,Trackers,HATCHBACK,premium,cvt,electrico,3,personal,104350.2541187967,490527.7925217023,ILIMITADO,,3.0,15000,Mendosa,cerró en enero 2025,2025-03-27 11:08:31.763639,1425,0800-KEKO,N/A
56,Keko,carsharing_flota_propia,Keko App,2023,Bmw,Onixs,utilitario,economico,manual,híbrido,3,Uber,,,ILIMITADO,12000,100.0,80000, ,Expansión 2025,08-14-2025,CABA,0800-KEKO,keko@keko
57,Localiza,carsharing_flota_propia,Avis App,2023,Kia,Onixs,hatchback,grande,dsg,electric,3,uber_trabajo,,,ILIMITADO,50000,4.0,5000,CABA,CERRÓ,30/05/2025,C1000,11-1234-5678,usuario@gmail.com
58,Hertz,carsharing_p2p,DeRentas Web,2025,Jeep,Corola,compacto,COMPACTO,,DIESEL,,,84814.21606683222,438586.3031986958,0,,2.0,14K,Rosario,dato no confirmado,2025-02-22,1000,123,keko.com
59,Hertz,alquiler_trabajo,KINTO Share,2024,Vw,Frontier,hatchback, compacto,,hibrido,2,carga,,,0,,48.0,45mil,CABA,PENDIENTE,05/02/2026,,12345678,
2453,Ttripwip,agregador_tradicional,Avis Appp,2023,Kia,Maverick,camioneta,mediano ,dsg,hibrido,3,URBANO,16311.54436948841,78443.89751660763,150,30000,,125.000,BuenosAires,activo,2026-01-28 11:08:31.763018,XXXX,0800-KEKO,keko.com
61,Fastgo,carsharing_p2p,Keko App,2025,Honda,Mobi,HATCHBACK,premium,manual,diesel,99, ,$35084,145708.72030367627,50 km,,24.0,15000,Mendoza,verificar,20/07/2025,1425,0800-KEKO,contacto@keko.com
62,Invernalia,agregador_tradicional,DeRentas Web,2024,Chevrolet,Up,PickUp,grande,manual,gas,4,Uber,92384.44993823816,534451.4933886747,9999,,24.0,N/D,n/a, ,2025-04-28 11:08:31.763258,1000,+54 11 1234-5678,contacto@keko.com
4081,Rentcars,carsharing flota propia,N/A,2023,Citroen,Voyage,sedan,economico,,diesel,99,c arga,23443.254719634617,102656.15632603246,50 km,15000,0.5,14K,Córdoba,Alianza Uber,2025-11-05 11:08:31.744969,1000,11-1234-5678,N/A
64,Europcar,agregador_tradicional, ,2024,Fiat,Mobi,grande,mediano ,AUTOMATICO,NAFTA,2,n/a,88403.42064194099,382783.95043201087,9999,35000000,4.0,15000,CABA,Alianza Uber,2025-02-09,CABA,12345678,N/A
65,Keko,carsharing_p2p,,2019,Fiat,208,,,,,10,,50000,20000,,,50,,,INCONSISTENTE,,CABA,12345678,info@
66,Mykeego,agregador_tradicional,DeRentas Web,2024,Fod,Uno,PickUp,compacto,MANUAL,electric,3,carga,-138478.44829895237,790025.3684894379,100,22000,8.0,125000,GBA,dato no confirmado,26/11/2025,0000,0800-KEKO,contacto@keko.com
67,Hertz,alquiler_trabajo,app,2023-01-01,Citroen,Gol,SUV,compacto,dsg,diesel,4,carga,20586.743346052743,93667681.93645987,50 km,22000,100.0,,,Activo,2025-06-18 11:08:31.751661,0000,,keko.com
68,Rentennials,carsharing p2p,,2023,Jeep,Tooro,Furgon,economico,N/A,NAFTA,4,taxi,,,unlimited,25000,10.0,45mil,Rosario,Activo,2025-04-06,0000,,keko.com
69,Despegar,carsharing_p2p,Rentennials App,2024,Renault,Mobi,camioneta,premium,N/A,gas,,remis,32126.381316249353,131524.1124250843,-50,22000,100.0,14K,Mar del Plata,ACTIVO,2025-02-07 11:08:31.743825,XXXX,,info@
70,Kayak,carsharing_p2p,app,2025,Chevrolet,Mobi,pickup,COMPACTO,auto,n/a,3,personal,-89112.02942008174,530299.570231384,unlimited,35000,-2.0,45mil, ,ACTIVO,2025-09-07,C1000,11-1234-5678,
5067,Triwpip,carsharing_p2p,APLICACION,2023,Fiat,Renegade,hatchback,COMPACTO,cvt,híbrido,,mixto,13892.69834645526,62155.34088478657,9999,22000,48.0,125000,B.Aires,Activo,2025-07-29 11:08:31.751063,XXXX,,contacto@keko.com
72,Budget,agregador_tradicional,app,2025,Renault,Corola,HATCHBACK,mediano,cvt,híbrido,0,remis,116372.67691101077,660739.7834239627,-50,,2.0,140000,BS AS,CERRÓ,22/01/2026,C1425,12345678,contacto@keko.com
73,Localiza,agregador_tradicional,TripWip App,2025,Fiat,Cron Os,utilitario,premium,dsg,diesel,4,carga,91958.11729275818,386938.5527623685,100,30000,5.0,15000,B.Aires,dato no confirmado,2026-01-09 11:08:31.764478,CABA,0800-KEKO,keko@keko
75,Cactus Rent,carsharing_flota_propia,FastGo App,2023,Fiat,Suburban,suv,grande,manual,gnc,cinco,remis,115404.4601905498,551037.0386034895,ilimitado,15000,5.0,N/D,Bariloche,activo,03/03/2025,1000,,keko.com
76,New Wa,carsharing_p2p,TrpWip App,2025,Ford,Ploo,hatchback,mediano,automatica,híbrido,5,,81459.95913173242,378751.04177676706,100,15000,12.0,5000,Barilochee,ACTIVO,16/08/2025,C1425,,keko.com
77,Keko,carsharing_p2p,,2026,Fiat,208,,,,,1,,50000,10000,,,30,,,INCONSISTENTE,,C1000,12345678,contacto@keko.com
78,Derentas,renta_tradicional,MyKeego App,2025,Citroen,Uno,camioneta,economico, ,NAFTA,cinco,mixt o,102300.4810736404,445705.9711341211,200,22000,2.0,125000,BS AS,N/A,2025-09-18,C1425,+54 11 1234-5678,contacto@keko.com
79,Localiza,alquiler_trabajo,N/A,2024-01-01,Toyota,Kicks,mediano, compacto,MANUAL,electrico,0,personal,32067.4772589088,137278.79009065707,ilimitado,,10.0,N/D,Rosario,cerró en enero 2025,2025-10-12 11:08:31.752448,BS AS,0800-KEKO,keko.com
80,Tripwip,renta tradicional,KINTO Share,2025,Peugeot,Kicks,utilitario,grande,auto,híbrido,-1,n/a,114347.10199545985,619340.8377368593,ILIMITADO,50000,-2.0,45000,,Cerró enero 2025,30/06/2025,1000,123,keko@keko
81,Budget,alquiler_trabajo,MyKeego App,2025,Renaault,Fox,Furgon,COMPACTO,Mecanica,,2,uber_trabajo,12832.538496180536,65846.54204725169,50 km,35000,1.0,"80,000",Barilochee,ACTIVO,02/10/2025,XXXX,11-1234-5678,usuario@gmail.com
82,Sixt,carsharing_p2p, ,2024,Nissan,Fox,moto,mediano,,diesel,4,craga,22485.079360141295,129205.23788843358,50,20000000,12.0,45mil,Mendoza,verificar,12/02/2025,CABA,0800-KEKO,keko@keko
84,Invernalia,renta_tradicional,Rentcars App,2024,Mercedes,Frontier,camion,COMPACTO,MANUAL,NAFTA,-1,taxi,179814.11776616808,998286.9683791806,ILIMITADO,50000,,,"B.Aires, Argentina",Activo,07-28-2025,C1000,sin telefono,info@
5463,Kinto,CARSHARING_P2P,/A,2023,Fiat,Ronco,moto,mediano,automatica,,5,taxi,22246.537049515475,121570.74113185584,50 km,,-2.0,125.000,Mendosa,activo,11-08-2025,0000,0800-KEKO,N/A
86,Kayak,agregador_tradicional,Rentennials App,2025,Toyota,Up,SUV,mediano,auto,hibrido,3,taxi,15606.000214253201,69400.37302212243,50 km,18000,10.0,80000,,activo,2025-07-10 11:08:31.760762,1000,+54 11 1234-5678,keko.com
87,Sixt,carsharing_p2p,KINTO Share,2024,Hyundai,Gol Trend,utilitario,mediano,dsg,nafta,cinco,carga,13272.339035023111,54247.02511161937,cien,,4.0,140000,Bariloche,verificar,2025-08-23,C1000,12345678,keko.com
88,Invernalia,agregador_tradicional,Rentcars App,25,Toyota,Uno,camion,COMPACTO,N/A,electric,4,,106047.69410732308,632789.303777682,9999,25000,5.0,15000,B.Aires,Activo,2025-06-12 11:08:31.754079,C1425,+54 11 1234-5678,contacto@keko.com
89,Cactus Rent,renta_tradicional,KINTO SHARE,2024,Volkswagen,Siena,pickup,economico,auto,NAFTA,4,personal,12543.766388010878,65869.9332849761,100,35000000,12.0,"80,000","ROSARIO, Argentina",ACTIVO,2025-08-14 11:08:31.742407,C1425,+54 11 1234-5678,N/A
6862,Kinto,carsharing_flota_propia,Kayak App,2025,Vw,Corolla,pickup,COMPACTO,mecánico,electrico,99,URBANO,,,9999,25000,100.0,14K,Rosario,Cerró enero 2025,06/08/2025,1425,sin telefono,keko@keko
91,Tripwip,agregador_tradicional,Hertz 24/7,2023,Ford,Corolla,HATCHBACK, compacto,cvt,DIESEL,3,personal,124620.99378384932,582652.2808497968,-50,$35000 USD,3.0,14K,CABA,cerró en enero 2025,2025-12-10,1000,12345678,usuario@gmail.com
92,Sixt,agregador_tradicional,KINTO Share,23,Toy Ota,G Ol Trend,grande,mediano,N/A,gnc,5, ,28205.76913769896,166381.528581753,9999,12000,24.0,80000,Barilochee,ACTIVO,2025-06-21 11:08:31.756410,1000,+54 11 1234-5678,keko.com
7444,Rentennials,alquiler_trabajo,app,2024,Hyundai,Kangoo,moto,mediano ,Mecanica,nafta,3,carga,"12.561,44",69398.80752109457,unlimited,18000,3.0,125.000,ROSARIO,Expansión 2025,2025-09-18,0000,123,usuario@gmail.com
94,Cactus Rent,carsharing_p2p,web site,2024,Kia,Gol Trend,auto,mediano,,,-1,mixto,174877.9007460726,999007.7047099565,0,30000,-2.0,5000,Mendosa,PENDIENTE,2025-04-15 11:08:31.760724,CABA,,usuario@gmail.com
95,Tripwip,agregador_tradicional,APLIC ACION,2023,Ford,Trackers,grande,COMPACTO,MANUAL,electrico,2,mixto,94219.88463342033,493014.3340837613,,,2.0,5000,Mar del Plata,,2025-10-05,BS AS,+54 11 1234-5678,contacto@keko.com
96,Rentennials,carsharing_p2p,Despegar Autos,2023,Renault,Gol,mediano,economico,AUTOMATICO,nafta,3,remis,64657.639914556436,318713663.0209362,ilimitado,30000,2.0,125.000,B.Aires,Activo,2025-06-21 11:08:31.760419,CABA,123,N/A
97,Tripwip,alquiler_trabajo,Kayak App,2025-01-01,Aaudi,Kicks,compacto,grande,cvt,n/a,cinco, ,26504.820684397317,128011.7303398552,50 km,,0.5,15000,Mendosa,Expansión 2025,14/11/2025,C1000,,usuario@gmail.com
98,Despegar,renta_tradicional,app,2023,Kia,Trackers,utilitario,mediano ,N/A,n/a,3,remis,35443.595447376065,165714.47189576077,,50000,48.0,,"ROSARIO, Argentina",Alianza Uber,2025-10-08 11:08:31.756619,0000,12345678,
99,Hertz,agregador_tradicional,,2024,Hyundai,Siena,PickUp,mediano,auto,gnc,99,remis,86191.37950586766,415349.4726383555,cien,,4.0,15000,Barilochee,cerró en enero 2025,2026-01-15 11:08:31.746459,CABA,,keko@keko
100,Derentas,carsharing_flota_propia,Alamo Web,2025,Bmw,Argo,pickup,grande,cvt,gnc,2,n/a,20496.3755754473,89851.38949117438,100,,3.0,5000,"BS AS, Argentina",Expansión 2025,17/09/2025,0000,0800-KEKO,contacto@keko.com
